"time","temp","vpd","co2","eppfd_1","eppfd_2","eppfd_3","eppfd_4","eppfdi_1","eppfdi_2","eppfdi_3","eppfdi_4","ppfd_1","ppfd_2","ppfd_3","ppfd_4","ppfdi_1","ppfdi_2","ppfdi_3","ppfdi_4","eppfd_g","eppfdi_g"
2025-04-23,20.39,-0.064,518.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007119999,0
2025-04-23 00:15:00,20.26,-0.062,519.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02751889,0.2548
2025-04-23 00:30:00,20.14,-0.061,519.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04229667,0.2698
2025-04-23 00:45:00,20.08,-0.059,524.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03649444,0.1836
2025-04-23 01:00:00,20.57,-0.042,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02570667,0
2025-04-23 01:15:00,20.76,-0.049,526.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01611333,0
2025-04-23 01:30:00,20.44,-0.062,522.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03846667,0
2025-04-23 01:45:00,20.28,-0.061,525.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02185667,0
2025-04-23 02:00:00,20.16,-0.06,526.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03422,0
2025-04-23 02:15:00,20.07,-0.059,523.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01486667,0
2025-04-23 02:30:00,20.61,-0.046,527.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01336667,0
2025-04-23 02:45:00,20.34,-0.06,530.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01498667,0
2025-04-23 03:00:00,20.15,-0.061,530.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02523,0
2025-04-23 03:15:00,20.06,-0.058,530.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02010667,0
2025-04-23 03:30:00,20,-0.058,532.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01861333,0
2025-04-23 03:45:00,19.92,-0.058,536.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02035667,0
2025-04-23 04:00:00,19.98,-0.052,534.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03709333,0
2025-04-23 04:15:00,20.53,-0.047,538.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01399,0
2025-04-23 04:30:00,20.16,-0.062,538.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03197333,0
2025-04-23 04:45:00,20.09,-0.055,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03584333,0
2025-04-23 05:00:00,20.35,-0.045,543.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02260666,0
2025-04-23 05:15:00,19.8,-0.035,542.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01511333,0
2025-04-23 05:30:00,20.35,-0.02,544.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004246667,0
2025-04-23 05:45:00,20.47,0.019,553.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03372667,0
2025-04-23 06:00:00,19.88,0.006,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02286,0
2025-04-23 06:15:00,20.25,0.009,559.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02048333,0
2025-04-23 06:30:00,19.78,0.003,556.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02697667,0
2025-04-23 06:45:00,20.16,0.002,556.7,0.1758977,0.1974561,0.1756419,0.1734285,0.6414867,0.7041287,0.6560389,0.657693,0.1116969,0.1428172,0.1283857,0.09514756,0.464368,0.5278735,0.5129212,0.4381402,0.194385,0.6333
2025-04-23 07:00:00,19.93,-0.007,557.5,1.658928,1.829651,1.692726,1.70299,3.393938,3.725184,3.459296,3.499969,1.271966,1.405706,1.349712,1.254362,2.632491,2.866869,2.759399,2.621601,1.823814,3.8488
2025-04-23 07:15:00,20.62,-0.01,559.5,8.305284,9.14473,8.474816,8.569379,15.18929,16.7918,15.52722,15.65651,6.398504,6.962147,6.731989,6.447439,11.69161,12.75696,12.30985,11.79614,9.397366,16.3172
2025-04-23 07:30:00,20.57,-0.001,563.3,19.98914,22.09975,20.3942,20.51332,24.88224,27.57477,25.52681,25.54108,15.48148,16.89289,16.26742,15.6056,19.34331,21.20543,20.40401,19.53165,20.95103,26.6607
2025-04-23 07:45:00,20.72,-0.005,568.3,42.60435,47.26184,43.57315,43.80101,66.03747,74.60825,68.05183,67.4222,33.30312,36.48204,34.98164,33.67224,51.55941,57.67996,54.72017,51.84944,46.99122,72.1196
2025-04-23 08:00:00,22.45,0.095,562.4,106.2454,122.3139,107.3798,105.7679,148.2201,173.9794,154.9293,150.5414,81.62762,93.74488,86.33057,80.46803,111.4984,133.0731,129.3624,113.0805,104.149,126.5316
2025-04-23 08:15:00,22.88,0.282,554.7,155.9417,210.4453,173.6915,156.546,166.8173,281.7547,167.5308,163.0316,119.8005,160.3358,135.5482,115.6041,130.4753,214.0035,140.0302,119.1299,134.2332,149.4147
2025-04-23 08:30:00,21.67,0.295,544.5,188.3778,233.6504,195.9616,189.163,192.5423,227.6303,200.7701,196.1295,146.5948,180.8792,157.7536,145.1567,150.5849,176.3198,161.7467,150.8885,182.018,194.3452
2025-04-23 08:45:00,21.16,0.23,531,210.3931,267.2472,231.9822,258.0495,199.7701,287.7446,203.9729,257.9999,166.9774,208.5185,189.9038,194.3336,164.8126,211.7398,164.2151,195.5276,226.5997,211.6668
2025-04-23 09:00:00,21.07,0.165,530,227.4984,294.5092,207.1616,269.7564,212.8205,266.9998,189.2788,239.8209,195.9928,228.6624,166.314,200.4586,177.7655,214.6318,144.4408,177.7295,207.0042,139.4947
2025-04-23 09:15:00,21,0.093,526.1,202.6087,234.8665,195.0261,200.8934,359.4346,266.8929,384.2587,406.6719,160.2807,189.4249,156.5272,149.2051,291.1316,201.9432,316.6293,299.8808,215.3119,524.1152
2025-04-23 09:30:00,21.79,0.108,516.1,448.8502,346.0464,325.8396,438.7082,521.8091,392.0525,541.0658,599.3929,329.1561,277.4516,296.2136,301.5309,391.2814,291.0615,394.9641,347.5736,366.8034,213.001
2025-04-23 09:45:00,22.19,0.265,503.1,443.2409,521.3804,514.3915,498.2204,481.7885,647.5601,564.2952,523.3928,343.6866,382.4244,407.1311,323.2927,344.9093,383.3179,451.634,299.5189,404.1714,368.4681
2025-04-23 10:00:00,22.53,0.385,498.4,355.5436,478.8275,431.0842,333.8958,223.8592,407.4432,355.0995,198.868,241.6848,379.0887,349.1417,221.9634,162.3785,337.3611,303.5179,153.78,368.4182,455.0424
2025-04-23 10:15:00,22.77,0.443,497.2,212.5657,778.8503,727.9268,320.5142,196.2408,998.8445,786.9095,685.114,159.4982,616.163,588.0924,473.3214,154.343,745.5566,628.787,617.6938,653.2728,644.1334
2025-04-23 10:30:00,22.44,0.345,488.3,374.8952,953.6892,671.1593,560.8746,396.182,1012.797,682.312,659.6385,330.3517,753.9755,551.2072,376.962,378.877,808.7336,699.9695,539.3632,705.4127,654.803
2025-04-23 10:45:00,22.64,0.386,486.4,492.3037,905.9457,860.2344,609.5238,599.3924,582.1594,614.1259,659.0847,375.8944,773.1686,688.9302,512.3474,357.2933,736.5149,592.0956,432.4224,608.8248,780.5814
2025-04-23 11:00:00,22.73,0.428,481.6,568.9819,821.3598,940.6493,793.9056,676.4512,982.7424,1023.773,818.4167,377.4312,644.9142,775.7529,562.9194,476.4791,800.0589,756.0118,638.1601,670.3144,555.7641
2025-04-23 11:15:00,23.13,0.44,484.7,694.7063,1001.919,1002.84,579.0745,796.1356,1071.811,1016.773,381.1947,539.2867,804.3923,843.2635,398.2495,666.9076,857.7952,781.3582,547.7866,608.3588,588.1886
2025-04-23 11:30:00,23.15,0.462,482.4,586.6264,737.0725,683.3542,505.7105,478.4015,579.0022,535.8113,483.7959,477.5984,586.2678,551.8491,491.8894,385.306,465.6822,443.0415,402.5325,442.2809,475.5495
2025-04-23 11:45:00,23.38,0.475,481.3,650.7759,885.7397,776.3801,636.87,484.3137,1099.436,1024.983,757.054,513.8395,716.0629,640.2456,586.6993,463.7852,845.3015,822.6888,760.1348,453.5198,346.9754
2025-04-23 12:00:00,23.57,0.487,479.5,656.6992,860.4713,765.7806,574.0272,643.2304,727.0198,640.7708,456.1012,623.7422,698.6638,600.0891,541.8068,544.2129,578.049,423.0624,376.4254,530.3271,888.8319
2025-04-23 12:15:00,23.53,0.459,478,528.7852,572.3611,487.9382,467.9846,397.0159,439.5363,404.6512,400.5022,435.5145,465.7032,394.8362,397.5116,316.0533,346.2889,328.8707,313.6345,443.9434,418.8139
2025-04-23 12:30:00,23.11,0.416,477.2,349.4123,387.2474,357.3847,347.7706,400.9121,440.815,411.5193,402.2498,278.7853,306.5553,290.4854,273.3602,321.5312,350.8903,337.7874,321.0128,336.0841,373.0365
2025-04-23 12:45:00,23.83,0.458,479.2,731.9792,761.5399,609.1765,559.0292,1246.816,1332.746,1196.181,829.545,578.4052,585.088,532.1223,521.1914,1035.918,1075.403,1030.359,1010.95,716.438,1078.601
2025-04-23 13:00:00,24.18,0.575,478,777.8536,812.1233,764.1427,592.5917,222.3031,249.7266,233.3763,223.3083,552.1923,638.6932,635.0989,613.8842,175.877,194.4903,189.3119,171.7783,407.4963,207.0722
2025-04-23 13:15:00,22.91,0.413,482.9,247.7433,261.9227,232.7755,225.8909,254.4361,261.5002,236.4948,215.0967,195.9819,207.8013,199.9343,184.8828,207.1633,209.9352,196.5763,173.0168,221.8287,205.1534
2025-04-23 13:30:00,22.56,0.281,478.1,200.9001,203.3458,203.3167,201.4264,362.799,345.3347,362.3441,331.014,156.1976,161.8575,166.6955,158.9705,278.3758,279.0514,300.866,275.0356,214.2032,445.5796
2025-04-23 13:45:00,23.22,0.228,482.4,339.7477,413.651,444.8968,362.5139,322.1211,334.4392,333.9842,332.6781,279.9499,274.2022,366.7115,346.5004,256.31,261.8146,273.6703,260.1653,319.3741,333.8549
2025-04-23 14:00:00,23.44,0.262,480.5,409.2695,370.2303,445.043,349.8771,675.9167,714.9221,778.8163,415.8961,291.8389,331.4049,367.7436,273.3383,548.1411,583.5829,621.2828,301.2982,462.1992,277.7714
2025-04-23 14:15:00,25.09,0.465,477.9,539.8329,1041.237,1097.54,953.6382,313.2757,1225.981,1305.982,1104.704,455.2746,801.7367,934.2467,714.197,252.6878,951.3839,1180.636,1056.378,1156.745,1211.834
2025-04-23 14:30:00,25.88,0.743,474.9,709.4492,1062.332,1112.37,1013.061,1170.954,1086.318,1075.359,926.7842,569.0709,870.2299,832.015,783.8594,1010.123,965.056,310.0646,488.1574,1103.827,1192.893
2025-04-23 14:45:00,26.23,0.857,473.4,1200.216,1164.253,626.9094,1200.985,1221.902,1009.337,1186.391,1182.892,1003.446,953.2932,673.4601,843.06,995.6874,855.5898,993.1594,907.7854,1208.446,1209.87
2025-04-23 15:00:00,26.46,0.887,470.6,1225.768,633.1881,938.361,872.8519,1232.312,598.8782,1131.936,978.0271,966.8911,547.0462,803.8836,703.2276,817.7756,845.9323,1000.034,903.7961,1061.887,1196.652
2025-04-23 15:15:00,26.8,0.952,471.4,1110.891,1026.017,1124.682,1128.88,1170.198,1068.664,1123.355,1183.45,835.4733,777.262,980.2753,746.4929,862.7969,883.8267,989.0985,663.5925,1077.967,277.674
2025-04-23 15:30:00,26.91,1.009,468.1,898.8148,844.3115,1110.095,995.0142,1111.028,1007.747,1137.53,950.7119,714.42,660.0104,946.8672,815.8802,892.6024,768.6147,955.9963,785.1649,869.1058,317.2491
2025-04-23 15:45:00,26.31,0.983,467.2,867.4587,833.3037,889.1216,773.8318,1068.913,1012.789,1189.23,680.184,697.3445,647.5807,670.2975,624.0312,870.3853,830.5734,491.6039,477.5674,707.8995,1052.162
2025-04-23 16:00:00,27.3,1.053,470.7,1056.831,1008.422,956.2476,1036.715,1071.018,977.6442,677.9693,1009.327,769.4661,793.9571,545.0465,799.8054,707.0751,765.6622,719.7772,865.5091,1074.106,1091.403
2025-04-23 16:15:00,26.73,1.071,467.2,777.7523,555.1663,552.4249,688.5712,447.0569,391.791,399.8036,883.6863,643.3587,479.6265,457.5438,594.3961,562.8238,237.3043,345.9783,280.4665,914.4951,974.6342
2025-04-23 16:30:00,26.7,1.016,465.6,467.2585,349.3636,369.1862,631.9764,224.1113,217.1608,222.7502,225.5155,322.5262,254.7991,435.3272,449.0335,176.9836,169.2809,180.3862,176.3376,673.1927,213.6605
2025-04-23 16:45:00,24.77,0.777,464.8,332.5191,246.194,281.1586,346.6485,798.5651,335.5432,760.437,875.4846,267.5926,192.8506,265.2269,277.2089,727.2932,258.2694,683.0506,736.7936,342.649,323.0879
2025-04-23 17:00:00,25.46,0.815,465.9,480.8782,394.9828,583.0052,644.8298,437.1208,363.449,418.1114,373.9307,372.9788,308.4466,496.0304,504.9037,334.9106,275.4311,325.0392,307.4627,400.7411,236.0939
2025-04-23 17:15:00,24.97,0.747,466.9,386.9523,342.9786,369.4581,396.1063,251.9339,233.7932,244.4161,256.5691,317.7032,266.2483,294.3516,311.7738,200.9676,183.3387,200.6684,203.3853,386.2146,302.6071
2025-04-23 17:30:00,25.64,0.8,468.3,590.3066,486.8633,582.6205,626.7391,634.4352,531.5716,581.7893,582.8201,461.2491,367.5839,480.9002,492.7556,514.7091,415.5888,480.9569,471.7072,542.2275,684.7541
2025-04-23 17:45:00,24,0.703,467.4,278.2364,252.6193,258.0596,274.7437,76.98426,82.51746,80.53738,81.16762,218.5655,192.675,225.1115,221.0105,61.78942,64.81588,65.69407,63.70931,233.0943,98.9152
2025-04-23 18:00:00,21.78,0.569,475.9,103.0054,108.231,105.8322,106.5342,82.59297,85.38474,84.07066,85.03909,82.50372,84.94664,86.11437,83.41366,65.90225,66.84276,68.81992,65.73691,101.939,78.0259
2025-04-23 18:15:00,22.52,0.575,475,60.88239,63.2299,62.57442,61.72698,37.63745,39.85587,38.75683,37.86946,48.50596,49.43084,51.21816,47.81713,29.72362,30.81264,31.51127,29.39701,55.2888,30.8505
2025-04-23 18:30:00,22.6,0.579,475.6,20.06922,20.89037,20.68279,20.0041,10.82997,11.26781,11.22712,11.06752,15.77202,16.12457,16.72468,15.47685,8.488267,8.677656,9.05852,8.517808,17.09533,9.2604
2025-04-23 18:45:00,23.13,0.59,479.2,7.216324,7.529565,7.389698,7.301888,5.157273,5.303452,5.240849,5.159638,5.634028,5.797646,5.941909,5.615533,3.999897,4.054619,4.202027,3.951721,6.574512,4.5946
2025-04-23 19:00:00,22.8,0.504,483.6,5.039552,5.100936,5.088244,5.044701,5.695826,5.758652,5.764103,5.708969,3.904625,3.914157,4.0788,3.858354,4.417374,4.436085,4.648279,4.358693,4.952052,5.213
2025-04-23 19:15:00,22.46,0.434,481.6,5.732266,5.798613,5.863257,5.762701,5.751518,5.807109,5.909297,5.831952,4.424278,4.453676,4.691714,4.392188,4.40754,4.456001,4.720361,4.41975,5.644245,5.6777
2025-04-23 19:30:00,22.26,0.363,481.5,6.05944,6.08366,6.105448,6.139645,6.775704,6.863659,6.820942,6.86201,4.641987,4.638064,4.847091,4.638468,5.209605,5.242808,5.429549,5.181433,6.17404,6.9743
2025-04-23 19:45:00,22.18,0.3,486.4,6.085984,6.228343,6.180823,6.147372,4.615301,4.780337,4.661754,4.619807,4.689322,4.757231,4.934731,4.645709,3.530387,3.612999,3.704855,3.497439,5.781557,3.9125
2025-04-23 20:00:00,21.95,0.24,487.4,3.166022,3.215289,3.182105,3.17063,2.12261,2.132602,2.124179,2.132881,2.412782,2.430283,2.517653,2.377258,1.614187,1.615443,1.682719,1.583121,2.800138,1.7876
2025-04-23 20:15:00,21.81,0.184,484.9,1.194883,1.233466,1.212642,1.211991,0.4402,0.466527,0.4534011,0.4405784,0.9138803,0.9522288,0.9650407,0.8974852,0.3309583,0.3800494,0.3607341,0.2938701,0.9695489,0
2025-04-23 20:30:00,21.76,0.142,489.3,0.1293703,0.1353254,0.1235153,0.1196888,0,0,0,0,0.08128022,0.1040927,0.09131102,0.06640162,0,0,0,0,0.05508,0
2025-04-23 20:45:00,21.62,0.109,490.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03335,0
2025-04-23 21:00:00,21.55,0.081,492.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03297666,0
2025-04-23 21:15:00,21.44,0.057,493.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03447333,0
2025-04-23 21:30:00,21.32,0.039,495.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02622667,0
2025-04-23 21:45:00,21.22,0.02,497.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01873333,0
2025-04-23 22:00:00,21.14,0.005,499.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01710667,0
2025-04-23 22:15:00,21.05,-0.013,501.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387,0
2025-04-23 22:30:00,20.97,-0.022,499.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02011,0
2025-04-23 22:45:00,20.81,-0.017,499.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04821,0
2025-04-23 23:00:00,20.64,-0.018,497.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007619999,0
2025-04-23 23:15:00,20.47,-0.017,500.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02347666,0
2025-04-23 23:30:00,20.78,-0.001,502.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03123,0
2025-04-23 23:45:00,20.8,0.028,507.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01161667,0
2025-04-24,20.55,0.005,504.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03585,0
2025-04-24 00:15:00,20.4,-0.015,504.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-24 00:30:00,20.36,-0.037,505.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01561,0
2025-04-24 00:45:00,20.88,-0.004,508.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01575722,0.1387
2025-04-24 01:00:00,20.66,-0.026,506.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01259611,0
2025-04-24 01:15:00,20.5,-0.055,505.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02897333,0
2025-04-24 01:30:00,20.35,-0.06,509.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04621333,0
2025-04-24 01:45:00,20.25,-0.059,506.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005619999,0
2025-04-24 02:00:00,20.18,-0.058,513.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01811,0
